"variable" "activity" "subject" "avg_mean" "avg_std"
"fBodyAcc-X" "LAYING" 1 -0.95855139 -0.95628404
"fBodyAcc-X" "LAYING" 2 -0.9876537 -0.98922702
"fBodyAcc-X" "LAYING" 3 -0.99059871 -0.9918732
"fBodyAcc-X" "LAYING" 4 -0.99314761 -0.9856628
"fBodyAcc-X" "LAYING" 5 -0.99175926 -0.99476114
"fBodyAcc-X" "LAYING" 6 -0.9874092 -0.99041883
"fBodyAcc-X" "LAYING" 7 -0.89663232 -0.87998166
"fBodyAcc-X" "LAYING" 8 -0.98133718 -0.97613154
"fBodyAcc-X" "LAYING" 9 -0.96313235 -0.97369317
"fBodyAcc-X" "LAYING" 10 -0.99115746 -0.99347379
"fBodyAcc-X" "LAYING" 11 -0.99400479 -0.99641523
"fBodyAcc-X" "LAYING" 12 -0.98389153 -0.98730684
"fBodyAcc-X" "LAYING" 13 -0.98671662 -0.98409079
"fBodyAcc-X" "LAYING" 14 -0.33801362 0.028515706
"fBodyAcc-X" "LAYING" 15 -0.98240203 -0.98602105
"fBodyAcc-X" "LAYING" 16 -0.96543913 -0.93609646
"fBodyAcc-X" "LAYING" 17 -0.99231505 -0.99363696
"fBodyAcc-X" "LAYING" 18 -0.99258641 -0.99532462
"fBodyAcc-X" "LAYING" 19 -0.97572452 -0.97066156
"fBodyAcc-X" "LAYING" 20 -0.99242697 -0.99080639
"fBodyAcc-X" "LAYING" 21 -0.978136 -0.95697212
"fBodyAcc-X" "LAYING" 22 -0.99380056 -0.99373648
"fBodyAcc-X" "LAYING" 23 -0.98723405 -0.98521673
"fBodyAcc-X" "LAYING" 24 -0.98650982 -0.97928678
"fBodyAcc-X" "LAYING" 25 -0.98387869 -0.97725511
"fBodyAcc-X" "LAYING" 26 -0.98392328 -0.98401033
"fBodyAcc-X" "LAYING" 27 -0.98947575 -0.98409463
"fBodyAcc-X" "LAYING" 28 -0.9826373 -0.97801266
"fBodyAcc-X" "LAYING" 29 -0.99470914 -0.99511154
"fBodyAcc-X" "LAYING" 30 -0.98492603 -0.98288829
"fBodyAcc-X" "SITTING" 1 -0.99736234 -0.99825588
"fBodyAcc-X" "SITTING" 2 -0.9917296 -0.99409321
"fBodyAcc-X" "SITTING" 3 -0.98879959 -0.99296996
"fBodyAcc-X" "SITTING" 4 -0.98214819 -0.98684236
"fBodyAcc-X" "SITTING" 5 -0.98679137 -0.98804222
"fBodyAcc-X" "SITTING" 6 -0.97297809 -0.9808244
"fBodyAcc-X" "SITTING" 7 -0.99649892 -0.99634478
"fBodyAcc-X" "SITTING" 8 -0.93034938 -0.9457136
"fBodyAcc-X" "SITTING" 9 -0.95240108 -0.95176826
"fBodyAcc-X" "SITTING" 10 -0.99712107 -0.99828605
"fBodyAcc-X" "SITTING" 11 -0.9689516 -0.97409949
"fBodyAcc-X" "SITTING" 12 -0.99276833 -0.99563078
"fBodyAcc-X" "SITTING" 13 -0.9950736 -0.9961004
"fBodyAcc-X" "SITTING" 14 -0.9961133 -0.99743001
"fBodyAcc-X" "SITTING" 15 -0.98651926 -0.9927155
"fBodyAcc-X" "SITTING" 16 -0.99300337 -0.99481297
"fBodyAcc-X" "SITTING" 17 -0.99754728 -0.99736349
"fBodyAcc-X" "SITTING" 18 -0.99551011 -0.99734664
"fBodyAcc-X" "SITTING" 19 -0.99350732 -0.98671558
"fBodyAcc-X" "SITTING" 20 -0.98392972 -0.98464623
"fBodyAcc-X" "SITTING" 21 -0.99109493 -0.99605353
"fBodyAcc-X" "SITTING" 22 -0.99154247 -0.9906266
"fBodyAcc-X" "SITTING" 23 -0.9899012 -0.99304637
"fBodyAcc-X" "SITTING" 24 -0.99061902 -0.9921788
"fBodyAcc-X" "SITTING" 25 -0.96500876 -0.96967393
"fBodyAcc-X" "SITTING" 26 -0.97517985 -0.96772095
"fBodyAcc-X" "SITTING" 27 -0.99554607 -0.99683341
"fBodyAcc-X" "SITTING" 28 -0.93016462 -0.93995804
"fBodyAcc-X" "SITTING" 29 -0.99201968 -0.99284365
"fBodyAcc-X" "SITTING" 30 -0.99467492 -0.9957797
"fBodyAcc-X" "STANDING" 1 -0.99230808 -0.99506704
"fBodyAcc-X" "STANDING" 2 -0.98480277 -0.9925253
"fBodyAcc-X" "STANDING" 3 -0.92991143 -0.91836009
"fBodyAcc-X" "STANDING" 4 -0.99371733 -0.99412587
"fBodyAcc-X" "STANDING" 5 -0.97938121 -0.98319782
"fBodyAcc-X" "STANDING" 6 -0.96113916 -0.97830541
"fBodyAcc-X" "STANDING" 7 -0.98456002 -0.98964325
